param,real_ess,clone_ess,real_rhat,clone_rhat
18,12.828,4125.66,1.65596,1.00078
11,13.7261,4737.61,1.56844,1.00092
14,14.7083,2957.8,1.53834,1.00176
17,15.0701,4476.45,1.47689,1.00092
8,16.0951,1881.5,1.45499,1.00113
15,16.8098,1717.79,1.40965,1.00312
16,16.8228,2208.84,1.40644,1.00302
10,18.3073,1835.56,1.40986,1.00314
19,20.0861,1985.74,1.33839,1.00346
21,20.3956,1737.68,1.30481,1.00382
7,23.007,1918.74,1.28438,1.00407
9,25.8546,1926.57,1.25,1.00419
1,27.087,1910.4,1.22008,1.0036
12,27.7538,2452.87,1.22494,1.00219
0,30.2996,1912.04,1.19812,1.00394
20,34.8364,1866.41,1.16813,1.00288
13,35.6036,1892.48,1.16039,1.00525
6,41.4952,1937.19,1.15991,1.00267
5,68.6223,1738.88,1.16431,1.00149
4,76.8419,1947.68,1.09415,1.0031
3,476.977,6907.3,1.01506,1.00032
2,480.927,7021.94,1.01897,1.00063
