param,real_ess,clone_ess,real_rhat,clone_rhat
17,2584.43,2236.84,1.00393,1.00167
9,2792.86,2486.19,1.00345,1.00242
8,2799.76,2449.37,1.00431,1.00107
19,2803.76,2439.76,1.00529,1.00176
12,2817.79,2470.53,1.00202,1.00088
18,2839.13,2498.74,1.00201,1.00139
4,2892.73,2504.1,1.0029,1.002
5,2897.92,2575.34,1.00295,1.00318
0,2999.12,2641.98,1.00653,1.00301
10,3000.48,2582.82,1.00434,1.00245
14,3002.33,2556.99,1.00363,1.00153
15,3017.4,2698.65,1.00294,1.00228
6,3021.94,2629.63,1.00544,1.00232
13,3033.2,2639.25,1.00125,1.00117
16,3038.45,2600.84,1.00543,1.00231
3,3041.94,2611.67,1.00322,1.00242
7,3219.07,2994.86,1.00236,1.00121
11,3547.3,3360.93,1.00087,1.00052
2,9345.67,9249.99,1.00161,1.00038
1,16575.2,17613.3,1.00483,1.00134
